,Unnamed: 0,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr,Imputed Old Zn,Imputed Old Cu,Imputed Old Ni,Imputed Old Co,Imputed Old Mn,Imputed Old Fe,Imputed Old F,Imputed Old Hg,Imputed Old U,Imputed New Ag,Imputed New Al,Imputed New Ba,Imputed New Be,Imputed New Ca,Imputed New Cd,Imputed New Ce,Imputed New Co,Imputed New Cr,Imputed New Cs,Imputed New Cu,Imputed New Dy,Imputed New Er,Imputed New Eu,Imputed New Fe,Imputed New Ga,Imputed New Gd,Imputed New Hg,Imputed New Ho,Imputed New K,Imputed New La,Imputed New Li,Imputed New Lu,Imputed New Mg,Imputed New Mn,Imputed New Mo,Imputed New Na,Imputed New Nb,Imputed New Nd,Imputed New Ni,Imputed New P,Imputed New Pb,Imputed New Pr,Imputed New Rb,Imputed New S,Imputed New Sc,Imputed New Se,Imputed New Sm,Imputed New Sr,Imputed New Tb,Imputed New Th,Imputed New Ti,Imputed New Tl,Imputed New Tm,Imputed New U,Imputed New V,Imputed New Y,Imputed New Yb,Imputed New Zn,Imputed New Zr,geometry
1538,1539,014D781135,014D,56.2612205,-63.4201148,50.0,8.0,2.0,4.0,3.0,,90.0,1.2,,3.0,195.0,4.8,30.0,2.3,Routine,014D,56.26111,-63.42098,19.0,0.48,0.4,0.3,,36.0,0.6,0.03,0.19,0.09,66.4,2.9,9.3,0.44,7.4,2.14,1.1,0.5,1.05,2.1,2.73,0.1,0.06,20.0,0.41,,0.06,33.6,7.0,0.15,0.15,84.0,3.74,0.011,1.91,26.52,5.9,0.044,3.62,,7.47,,6.2,,0.06,0.03,1.5,0.3,3.82,0.6,8.8,,0.43,,5.0,0.053,0.07,0.13,2.1,17.0,0.3,10.83,0.98,42.5,2.4,50.0,8.0,4.0,3.0,90.0,1.2,195.0,30.0,2.3,19.0,0.48,36.0,0.6,0.19,0.09,66.4,2.9,9.3,0.44,7.4,2.14,1.1,0.5,1.05,2.1,2.73,20.0,0.41,0.06,33.6,7.0,0.15,0.15,84.0,3.74,0.011,1.91,26.52,5.9,0.044,3.62,7.47,6.2,0.06,1.5,0.3,3.82,8.8,0.43,5.0,0.053,0.07,0.13,2.1,17.0,10.83,0.98,42.5,2.4,POINT (-63.4201148 56.2612205)
1539,1540,014D781136,014D,56.2623104,-63.4740292,80.0,10.0,2.0,6.0,8.0,,170.0,1.25,,,300.0,5.4,30.0,4.3,Routine,014D,56.2622,-63.47489,19.0,0.75,0.2,,,57.8,0.3,0.04,0.31,0.16,78.3,9.2,15.1,0.79,11.85,2.64,1.23,0.58,1.29,3.0,3.63,,0.05,27.0,0.45,,0.08,41.8,12.7,0.16,0.26,189.0,3.1,0.016,2.45,33.34,9.8,0.059,3.49,,9.42,,10.6,1.0,0.14,,1.8,0.5,5.05,0.6,14.3,,0.5,,3.8,0.078,0.13,0.17,3.9,21.0,0.5,12.32,1.06,88.1,2.4,80.0,10.0,6.0,8.0,170.0,1.25,300.0,30.0,4.3,19.0,0.75,57.8,0.3,0.31,0.16,78.3,9.2,15.1,0.79,11.85,2.64,1.23,0.58,1.29,3.0,3.63,27.0,0.45,0.08,41.8,12.7,0.16,0.26,189.0,3.1,0.016,2.45,33.34,9.8,0.059,3.49,9.42,10.6,0.14,1.8,0.5,5.05,14.3,0.5,3.8,0.078,0.13,0.17,3.9,21.0,12.32,1.06,88.1,2.4,POINT (-63.4740292 56.2623104)
1540,1541,014D781137,014D,56.2475425,-63.4939053,50.0,40.0,2.0,13.0,4.0,,70.0,0.5,,5.0,100.0,31.2,60.0,5.7,Routine,014D,56.24743,-63.49477,184.0,1.14,0.3,0.6,,56.9,0.7,0.04,0.35,0.25,207.4,3.6,13.6,0.3,40.64,6.87,3.7,1.72,0.57,2.1,9.42,0.2,,79.0,1.18,,0.04,117.7,3.3,0.42,0.09,57.0,5.3,0.011,1.32,108.73,18.2,0.056,3.03,,31.88,,4.2,,0.33,,1.5,1.2,15.42,0.3,27.9,,1.46,,0.6,0.027,0.09,0.48,5.8,20.0,0.2,31.56,2.64,57.1,0.8,50.0,40.0,13.0,4.0,70.0,0.5,100.0,60.0,5.7,184.0,1.14,56.9,0.7,0.35,0.25,207.4,3.6,13.6,0.3,40.64,6.87,3.7,1.72,0.57,2.1,9.42,79.0,1.18,0.04,117.7,3.3,0.42,0.09,57.0,5.3,0.011,1.32,108.73,18.2,0.056,3.03,31.88,4.2,0.33,1.5,1.2,15.42,27.9,1.46,0.6,0.027,0.09,0.48,5.8,20.0,31.56,2.64,57.1,0.8,POINT (-63.4939053 56.2475425)
1541,1542,014D781138,014D,56.2372169,-63.5333628,78.0,38.0,,14.0,5.0,,80.0,2.1,,3.0,140.0,31.4,70.0,3.7,Routine,014D,56.23711,-63.53422,209.0,1.41,0.1,0.5,,48.2,1.1,0.05,0.3,0.27,208.1,7.2,16.6,0.33,38.95,7.02,3.95,1.87,2.57,2.4,10.22,0.2,0.02,89.0,1.37,,0.04,107.1,4.6,0.46,0.1,92.0,3.25,0.012,1.53,102.77,19.4,0.07,3.34,,28.81,,4.1,,0.35,,2.3,1.2,14.75,0.3,29.6,,1.44,0.04,1.5,0.031,0.13,0.55,4.5,30.0,0.4,34.79,3.11,83.9,0.6,78.0,38.0,14.0,5.0,80.0,2.1,140.0,70.0,3.7,209.0,1.41,48.2,1.1,0.3,0.27,208.1,7.2,16.6,0.33,38.95,7.02,3.95,1.87,2.57,2.4,10.22,89.0,1.37,0.04,107.1,4.6,0.46,0.1,92.0,3.25,0.012,1.53,102.77,19.4,0.07,3.34,28.81,4.1,0.35,2.3,1.2,14.75,29.6,1.44,1.5,0.031,0.13,0.55,4.5,30.0,34.79,3.11,83.9,0.6,POINT (-63.5333628 56.2372169)
1542,1543,014D781139,014D,56.2206451,-63.5300853,200.0,48.0,2.0,22.0,37.0,,630.0,3.9,,19.0,330.0,22.6,80.0,11.9,Routine,014D,56.22053,-63.53094,215.0,1.82,0.5,0.3,,110.5,1.0,0.07,0.43,0.57,277.5,38.0,22.3,0.57,46.87,7.15,3.57,1.88,4.17,3.3,10.12,0.2,,98.0,1.25,,0.08,138.6,7.4,0.4,0.18,694.0,20.18,0.016,1.69,115.17,26.9,0.2,5.09,,34.71,,7.4,3.0,0.19,0.02,3.2,1.7,15.77,0.4,22.5,,1.5,0.05,2.9,0.047,0.44,0.44,12.6,46.0,1.2,32.07,2.81,191.8,0.6,200.0,48.0,22.0,37.0,630.0,3.9,330.0,80.0,11.9,215.0,1.82,110.5,1.0,0.43,0.57,277.5,38.0,22.3,0.57,46.87,7.15,3.57,1.88,4.17,3.3,10.12,98.0,1.25,0.08,138.6,7.4,0.4,0.18,694.0,20.18,0.016,1.69,115.17,26.9,0.2,5.09,34.71,7.4,0.19,3.2,1.7,15.77,22.5,1.5,2.9,0.047,0.44,0.44,12.6,46.0,32.07,2.81,191.8,0.6,POINT (-63.5300853 56.2206451)
1543,1544,014D781140,014D,56.2163606,-63.6005367,54.0,8.0,2.0,6.0,5.0,,175.0,1.2,,2.0,180.0,5.0,30.0,3.4,Routine,014D,56.21625,-63.60139,30.0,0.62,0.6,0.5,,58.5,0.3,0.05,0.28,0.21,62.0,6.1,14.2,0.56,9.93,2.03,1.07,0.56,1.15,2.7,2.95,,0.04,33.0,0.38,,0.08,31.5,8.5,0.15,0.21,207.0,1.69,0.023,1.81,25.08,9.4,0.073,4.94,,7.38,2.0,7.8,,0.08,0.06,2.0,0.3,4.05,0.5,14.0,,0.41,,4.1,0.064,0.1,0.13,3.0,21.0,0.4,10.56,0.87,59.1,1.6,54.0,8.0,6.0,5.0,175.0,1.2,180.0,30.0,3.4,30.0,0.62,58.5,0.3,0.28,0.21,62.0,6.1,14.2,0.56,9.93,2.03,1.07,0.56,1.15,2.7,2.95,33.0,0.38,0.08,31.5,8.5,0.15,0.21,207.0,1.69,0.023,1.81,25.08,9.4,0.073,4.94,7.38,7.8,0.08,2.0,0.3,4.05,14.0,0.41,4.1,0.064,0.1,0.13,3.0,21.0,10.56,0.87,59.1,1.6,POINT (-63.6005367 56.2163606)
1544,1545,014D781142,014D,56.2028768,-63.6531787,70.0,28.0,,16.0,6.0,,55.0,0.6,,5.0,65.0,33.4,60.0,5.9,Routine,014D,56.20277,-63.65403,76.0,0.47,0.1,0.4,,57.8,,0.03,0.43,0.24,82.9,5.9,10.5,0.2,29.02,2.83,1.51,0.88,0.55,0.8,4.58,0.1,0.03,81.0,0.49,,0.03,53.3,2.2,0.17,0.07,55.0,4.06,0.008,0.61,42.2,21.1,0.027,1.77,,11.76,,2.4,2.0,0.69,,1.8,1.2,5.92,0.1,36.1,,0.58,,2.4,0.017,0.1,0.19,6.5,9.0,0.1,14.14,1.07,71.8,0.8,70.0,28.0,16.0,6.0,55.0,0.6,65.0,60.0,5.9,76.0,0.47,57.8,0.2921188293531149,0.43,0.24,82.9,5.9,10.5,0.2,29.02,2.83,1.51,0.88,0.55,0.8,4.58,81.0,0.49,0.03,53.3,2.2,0.17,0.07,55.0,4.06,0.008,0.61,42.2,21.1,0.027,1.77,11.76,2.4,0.69,1.8,1.2,5.92,36.1,0.58,2.4,0.017,0.1,0.19,6.5,9.0,14.14,1.07,71.8,0.8,POINT (-63.6531787 56.2028768)
1545,1546,014D781144,014D,56.2008439,-63.7058487,98.0,22.0,6.0,15.0,11.0,,230.0,2.2,,2.0,465.0,6.4,40.0,16.7,Routine,014D,56.20073,-63.7067,49.0,1.29,0.7,0.7,,137.3,0.5,0.13,0.47,0.18,101.9,11.3,37.5,1.71,21.59,4.03,1.99,1.05,2.17,5.3,5.82,0.2,0.13,31.0,0.73,0.03,0.27,55.4,16.8,0.24,0.47,224.0,2.17,0.031,3.32,47.68,19.5,0.066,7.34,,13.29,,25.0,,0.17,0.02,4.6,0.5,7.62,0.7,25.2,,0.85,,10.3,0.131,0.22,0.26,15.7,47.0,1.5,17.9,1.62,94.0,4.6,98.0,22.0,15.0,11.0,230.0,2.2,465.0,40.0,16.7,49.0,1.29,137.3,0.5,0.47,0.18,101.9,11.3,37.5,1.71,21.59,4.03,1.99,1.05,2.17,5.3,5.82,31.0,0.73,0.27,55.4,16.8,0.24,0.47,224.0,2.17,0.031,3.32,47.68,19.5,0.066,7.34,13.29,25.0,0.17,4.6,0.5,7.62,25.2,0.85,10.3,0.131,0.22,0.26,15.7,47.0,17.9,1.62,94.0,4.6,POINT (-63.7058487 56.2008439)
1546,1547,014D781145,014D,56.1927379,-63.775056,72.0,18.0,2.0,10.0,6.0,,145.0,2.0,,4.0,365.0,11.2,40.0,4.2,Routine,014D,56.19263,-63.77591,65.0,1.03,0.7,0.2,,61.9,0.6,0.09,0.4,0.14,97.5,5.3,22.2,0.72,16.5,3.4,1.72,1.01,1.78,3.2,5.1,0.1,0.02,44.0,0.65,,0.14,51.9,9.2,0.23,0.26,148.0,3.99,0.029,2.12,43.64,12.4,0.074,4.77,,12.21,,10.9,,0.12,0.02,3.1,0.4,6.34,0.5,16.5,,0.74,,4.2,0.076,0.11,0.25,4.0,32.0,1.0,17.79,1.41,64.4,1.2,72.0,18.0,10.0,6.0,145.0,2.0,365.0,40.0,4.2,65.0,1.03,61.9,0.6,0.4,0.14,97.5,5.3,22.2,0.72,16.5,3.4,1.72,1.01,1.78,3.2,5.1,44.0,0.65,0.14,51.9,9.2,0.23,0.26,148.0,3.99,0.029,2.12,43.64,12.4,0.074,4.77,12.21,10.9,0.12,3.1,0.4,6.34,16.5,0.74,4.2,0.076,0.11,0.25,4.0,32.0,17.79,1.41,64.4,1.2,POINT (-63.775056 56.1927379)
1547,1548,014D781146,014D,56.1730445,-63.760358,64.0,24.0,,11.0,5.0,,60.0,0.7,,7.0,65.0,46.4,60.0,5.5,Routine,014D,56.17293,-63.76121,122.0,0.54,0.4,0.5,,40.4,0.3,0.05,0.38,0.29,66.3,5.1,11.3,0.24,26.5,2.34,1.16,0.65,0.62,1.1,3.28,,,53.0,0.41,,0.03,35.3,2.6,0.15,0.07,58.0,9.42,0.008,0.79,27.92,14.7,0.044,2.86,,8.34,,2.5,6.0,0.73,0.04,1.2,2.1,4.33,0.1,38.9,,0.47,0.02,0.7,0.019,0.08,0.16,5.8,14.0,1.0,11.01,0.92,64.3,0.3,64.0,24.0,11.0,5.0,60.0,0.7,65.0,60.0,5.5,122.0,0.54,40.4,0.3,0.38,0.29,66.3,5.1,11.3,0.24,26.5,2.34,1.16,0.65,0.62,1.1,3.28,53.0,0.41,0.03,35.3,2.6,0.15,0.07,58.0,9.42,0.008,0.79,27.92,14.7,0.044,2.86,8.34,2.5,0.73,1.2,2.1,4.33,38.9,0.47,0.7,0.019,0.08,0.16,5.8,14.0,11.01,0.92,64.3,0.3,POINT (-63.760358 56.1730445)
