state,year,month,item,total
Nasarawa,2018,May,Food,274.8
Nasarawa,2019,Apr,All Items,287.7
Nasarawa,2019,Apr,Food,309.7
Nasarawa,2019,May,All Items,292.2
Nasarawa,2019,May,Food,316.3
Niger,2018,May,All Items,260.6
Niger,2018,May,Food,269
Niger,2019,Apr,All Items,290.7
Niger,2019,Apr,Food,306.6
Niger,2019,May,All Items,295.5
Niger,2019,May,Food,313.4
Ogun,2018,May,All Items,275.2
Ogun,2018,May,Food,279.5
Ogun,2019,Apr,All Items,302.7
Ogun,2019,Apr,Food,314.5
Ogun,2019,May,All Items,307
Ogun,2019,May,Food,320.4
Ondo,2018,May,All Items,259.8
Ondo,2018,May,Food,273.1
Ondo,2019,Apr,All Items,290
Ondo,2019,Apr,Food,311.6
Ondo,2019,May,All Items,294.6
Ondo,2019,May,Food,318.1
Osun,2018,May,All Items,259.9
Osun,2018,May,Food,274.1
Osun,2019,Apr,All Items,284.6
Osun,2019,Apr,Food,304.6
Osun,2019,May,All Items,287.6
Osun,2019,May,Food,308.7
Oyo,2018,May,All Items,266.8
Oyo,2018,May,Food,274.7
Oyo,2019,Apr,All Items,296.1
Oyo,2019,Apr,Food,312.6
Oyo,2019,May,All Items,298.9
Oyo,2019,May,Food,316.5
Plateau,2018,May,All Items,262.7
Plateau,2018,May,Food,273.7
Plateau,2019,Apr,All Items,287.9
Plateau,2019,Apr,Food,303.6
Plateau,2019,May,All Items,291.5
Plateau,2019,May,Food,308.4
Rivers,2018,May,All Items,254.7
Rivers,2018,May,Food,277.7
Rivers,2019,Apr,All Items,280.5
Rivers,2019,Apr,Food,307.9
Rivers,2019,May,All Items,282.8
Rivers,2019,May,Food,310.3
Sokoto,2018,May,All Items,257.2
Sokoto,2018,May,Food,271.6
Sokoto,2019,Apr,All Items,283.8
Sokoto,2019,Apr,Food,304.7
Sokoto,2019,May,All Items,287.7
Sokoto,2019,May,Food,311.2
Taraba,2018,May,All Items,251.3
Taraba,2018,May,Food,275.7
Taraba,2019,Apr,All Items,278.7
Taraba,2019,Apr,Food,308
Taraba,2019,May,All Items,281.8
Taraba,2019,May,Food,312.3
Yobe,2018,May,All Items,259.9
Yobe,2018,May,Food,274
Yobe,2019,Apr,All Items,288.7
Yobe,2019,Apr,Food,307.9
Yobe,2019,May,All Items,292.4
Yobe,2019,May,Food,312.7
Zamfara,2018,May,All Items,256.6
Zamfara,2018,May,Food,270.1
Zamfara,2019,Apr,All Items,288.3
Zamfara,2019,Apr,Food,309.2
Zamfara,2019,May,All Items,291.4
Zamfara,2019,May,Food,313.2
