,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,013L781002,013L,54.9890932,-62.0190714,40.0,38.0,,43.0,10.0,,70.0,1.0,,2.0,85.0,23,40.0,0.3,Routine,013L,54.989,-62.01995,57.0,2.89,,1.0,,81.5,0.2,0.02,0.48,0.32,19.1,9.9,22.6,0.17,43.46,1.18,0.65,0.56,1.06,4.6,1.66,,0.03,46.0,0.23,,0.03,10.5,2.9,0.1,0.26,60.0,0.55,0.103,0.39,11.2,52.9,0.042,1.9,,2.84,,1.6,,0.25,,2.3,0.7,1.9,0.1,41.0,,0.2,,0.8,0.021,0.03,0.1,0.3,31.0,,6.04,0.64,44.0,0.9
2,013L781003,013L,54.9753817,-62.0305772,40.0,44.0,,35.0,8.0,,80.0,1.9,,,80.0,33,70.0,0.5,Routine,013L,54.97529,-62.03145,106.0,3.22,0.1,1.6,,26.0,,0.02,0.48,0.35,17.9,8.8,20.8,0.18,49.32,1.3,0.53,0.57,2.19,5.0,1.41,,0.03,66.0,0.2,,0.02,10.0,2.5,0.07,0.2,69.0,0.71,0.08,0.55,9.85,44.7,0.094,2.26,,2.61,,1.6,,0.3,0.02,2.3,1.3,1.76,0.1,31.3,,0.19,,0.8,0.021,0.03,0.08,0.3,45.0,,5.65,0.49,45.1,1.0
3,013L781004,013L,54.9763308,-62.0449127,46.0,30.0,,34.0,8.0,,80.0,0.7,,2.0,90.0,27.2,50.0,0.6,Routine,013L,54.97623,-62.04579,59.0,2.34,0.1,1.1,,49.9,0.1,0.03,0.56,0.29,20.5,8.3,18.3,0.18,33.34,1.42,0.71,0.66,0.75,4.4,1.77,,0.03,51.0,0.28,,0.02,12.3,3.1,0.09,0.26,58.0,0.46,0.107,0.51,12.79,42.4,0.052,2.15,,3.22,,1.7,,0.27,0.04,2.2,0.7,2.2,0.1,40.9,,0.22,,0.7,0.023,0.04,0.09,0.3,17.0,,7.19,0.64,51.4,0.8
4,013L781005,013L,54.973541,-62.0547902,50.0,26.0,,22.0,6.0,,120.0,0.85,,2.0,60.0,29.6,40.0,0.6,First Field Duplicate,013L,54.97344,-62.05566,70.0,2.26,0.1,0.9,,20.3,0.2,,0.47,0.29,17.2,6.4,14.0,0.13,26.07,1.47,0.78,0.71,0.84,3.2,1.82,,0.02,51.0,0.28,,0.02,12.2,1.8,0.12,0.14,94.0,0.79,0.072,0.37,13.24,26.1,0.051,1.55,,3.37,,1.1,,0.35,,2.1,0.6,2.05,0.1,28.2,,0.26,,0.6,0.014,0.03,0.12,0.6,34.0,,8.08,0.74,51.1,0.8
5,013L781007,013L,54.9369835,-62.0263991,42.0,20.0,,22.0,9.0,,100.0,0.7,,2.0,65.0,33.6,60.0,0.3,Routine,013L,54.93689,-62.02727,62.0,1.89,,0.3,,35.8,,,0.55,0.34,27.6,9.0,18.7,0.2,21.4,1.34,0.68,0.63,0.75,3.6,2.19,,0.02,74.0,0.26,,0.02,15.7,2.6,0.1,0.2,79.0,0.64,0.051,0.49,16.58,26.1,0.046,1.59,,4.02,,1.7,,0.26,,2.2,0.5,2.78,0.2,28.9,,0.26,,0.6,0.021,0.05,0.1,0.3,28.0,,7.53,0.61,45.4,0.9
6,013L781008,013L,54.9333356,-62.0481194,36.0,18.0,,19.0,7.0,,80.0,0.9,,,80.0,36.2,60.0,0.5,Routine,013L,54.93324,-62.04899,46.0,2.3,,2.3,,32.5,,,0.56,0.26,27.5,7.4,20.2,0.19,18.91,1.29,0.67,0.65,0.89,4.5,2.07,,0.03,71.0,0.25,,0.02,14.9,3.5,0.08,0.21,61.0,0.55,0.062,0.62,15.84,23.0,0.063,1.94,,4.07,,1.6,,0.26,,2.0,0.7,2.51,0.2,28.2,,0.25,,0.6,0.024,0.04,0.09,0.3,33.0,,6.59,0.58,37.3,0.9
7,013L781009,013L,54.9187277,-62.0304917,38.0,18.0,2.0,11.0,6.0,,100.0,0.5,,,45.0,39,70.0,0.3,Routine,013L,54.91863,-62.03136,87.0,1.37,,0.5,,10.0,,,0.49,0.26,27.4,6.9,9.0,0.13,16.14,1.66,0.87,0.83,0.51,1.7,2.51,,0.02,88.0,0.32,,0.01,18.1,1.2,0.1,0.09,82.0,1.08,0.021,0.37,18.75,12.1,0.044,1.31,,4.83,2.0,0.9,,0.35,0.03,2.3,0.6,3.26,0.1,23.7,,0.31,,0.5,0.015,0.04,0.11,0.3,19.0,,8.98,0.71,36.2,0.8
8,013L781010,013L,54.916706,-62.0875934,44.0,20.0,2.0,20.0,8.0,,140.0,1.7,,2.0,90.0,22.8,60.0,0.8,Routine,013L,54.91661,-62.08846,64.0,2.93,,0.5,,72.8,0.1,,0.63,0.2,28.9,9.1,23.5,0.21,21.2,1.34,0.69,0.63,1.77,5.4,1.93,,0.04,67.0,0.26,,0.03,14.3,4.4,0.09,0.31,115.0,0.82,0.103,0.73,15.81,23.9,0.08,2.17,,3.94,,2.0,,0.13,,2.6,0.6,2.52,0.2,34.9,,0.25,,0.8,0.032,0.04,0.09,0.9,50.0,,6.87,0.59,49.2,1.1
9,013L781011,013L,54.8837768,-62.1042547,24.0,12.0,,8.0,4.0,,60.0,0.3,,2.0,,31.4,70.0,2.5,Routine,013L,54.88368,-62.10512,39.0,0.49,,0.4,,26.1,,,0.45,0.16,15.7,3.9,9.2,0.11,13.11,1.23,0.66,0.38,0.32,0.9,1.6,,,92.0,0.22,,0.01,10.7,0.8,0.09,0.06,27.0,2.1,0.017,0.2,11.31,9.1,0.034,0.82,,2.8,2.0,0.8,,0.46,,1.3,0.6,1.93,,26.2,,0.2,,0.4,0.009,0.03,0.09,3.0,20.0,,6.51,0.5,27.5,0.7
10,013L781012,013L,54.8647654,-62.0549116,56.0,18.0,,18.0,13.0,,120.0,1.1,,,290.0,1.4,30.0,0.7,Routine,013L,54.86467,-62.05578,22.0,1.57,,0.5,,109.5,0.2,,0.66,0.15,37.1,14.5,28.2,0.25,18.6,2.16,1.01,0.56,1.26,4.0,2.91,,0.06,30.0,0.37,,0.06,17.2,5.3,0.13,0.48,115.0,0.3,0.11,0.82,19.02,24.3,0.078,2.22,,4.47,,5.0,,0.06,,4.0,0.3,3.51,0.3,33.5,,0.37,,2.4,0.073,0.12,0.14,0.5,42.0,,10.33,0.95,63.2,3.3
11,013L781014,013L,54.8542275,-62.0623395,100.0,14.0,2.0,18.0,14.0,,400.0,3.3,,2.0,160.0,17.4,50.0,0.6,Routine,013L,54.85413,-62.0632,51.0,2.14,0.4,0.5,,114.4,0.3,0.03,0.4,0.28,34.4,14.1,30.1,0.34,13.43,2.28,1.21,0.78,3.04,4.3,3.0,,,61.0,0.42,,0.04,18.3,4.7,0.15,0.32,350.0,1.06,0.052,0.66,20.0,21.9,0.058,3.33,,5.0,,3.0,,0.15,,4.0,0.4,3.64,0.2,25.3,,0.38,,1.0,0.044,0.06,0.17,0.5,63.0,,11.17,1.14,101.4,0.7
12,013L781015,013L,54.8324088,-62.0315066,30.0,12.0,2.0,8.0,4.0,,60.0,0.3,,,50.0,33.4,50.0,0.3,Routine,013L,54.83231,-62.03237,66.0,0.67,,,,42.1,0.1,,0.37,0.19,22.7,4.1,9.5,0.16,11.8,2.42,1.21,0.87,0.23,1.2,3.03,,,46.0,0.45,,0.01,15.5,1.2,0.16,0.07,43.0,0.71,0.012,0.28,19.1,10.0,0.041,1.22,,4.59,,1.1,,0.3,,1.5,0.6,3.53,,25.9,,0.39,,0.1,0.012,,0.17,0.4,9.0,,12.18,1.1,35.3,0.3
13,013L781016,013L,54.8130188,-62.0297302,86.0,20.0,2.0,14.0,8.0,,280.0,3.1,,4.0,125.0,27,60.0,1.1,Routine,013L,54.81292,-62.03059,140.0,2.42,0.1,0.8,,78.8,0.3,0.02,0.43,0.54,48.8,9.0,22.7,0.24,20.33,3.68,1.98,1.31,3.45,3.1,4.92,,,79.0,0.68,,0.03,28.7,2.7,0.26,0.19,266.0,2.96,0.028,0.53,31.7,16.5,0.196,2.1,,8.1,,2.8,,0.2,0.02,2.8,1.5,5.56,0.2,21.5,,0.63,0.02,0.4,0.023,0.07,0.28,1.0,87.0,,19.0,1.87,93.6,0.7
14,013L781017,013L,54.7728497,-62.0436426,66.0,18.0,,15.0,9.0,,200.0,1.7,,3.0,90.0,17.6,70.0,0.8,Routine,013L,54.77275,-62.0445,139.0,1.59,0.2,,,117.0,0.3,0.02,0.58,0.34,38.3,8.6,19.5,0.3,19.25,3.08,1.66,1.05,1.8,2.4,3.84,,0.03,78.0,0.56,,0.05,21.4,3.0,0.22,0.24,182.0,1.58,0.031,0.41,24.23,19.0,0.145,1.91,,5.94,,4.1,3.0,0.14,0.02,3.5,0.7,4.31,0.2,22.7,,0.51,,0.6,0.027,0.08,0.24,0.6,53.0,0.2,15.74,1.5,66.9,1.2
15,013L781018,013L,54.7556887,-62.0116323,108.0,18.0,2.0,18.0,8.0,,260.0,1.5,,2.0,135.0,19,50.0,0.9,Routine,013L,54.75559,-62.01249,79.0,1.78,,0.6,,147.0,0.3,,0.49,0.37,56.1,8.0,23.2,0.29,18.11,4.34,2.3,1.31,1.48,3.0,5.44,,,52.0,0.8,,0.05,36.3,4.7,0.28,0.26,241.0,1.9,0.039,0.68,37.95,20.9,0.061,2.18,,10.07,,4.1,,0.15,0.02,4.1,0.4,6.47,0.2,24.7,,0.7,,0.8,0.039,0.13,0.3,0.8,49.0,,22.72,1.99,114.3,0.8
16,013L781019,013L,54.7489906,-62.0529685,48.0,10.0,,7.0,5.0,,120.0,0.9,,,80.0,6,40.0,0.4,Routine,013L,54.74889,-62.05383,34.0,1.1,,0.3,,59.4,0.2,,0.45,0.17,29.1,4.9,14.0,0.15,9.1,1.71,0.89,0.53,1.1,2.1,2.6,,,40.0,0.33,,0.03,16.1,3.5,0.11,0.21,120.0,0.61,0.08,0.37,16.03,10.6,0.043,1.66,,4.11,,2.2,,0.07,,1.8,0.2,2.82,0.1,27.2,,0.32,,0.7,0.034,0.05,0.13,0.3,25.0,0.1,8.62,0.77,58.6,0.3
17,013L781020,013L,54.7664028,-62.0745088,68.0,20.0,,11.0,24.0,0.2,420.0,3.7,,5.0,90.0,37.8,140.0,0.6,Routine,013L,54.7663,-62.07537,231.0,2.47,,0.2,,82.0,0.2,0.02,0.53,0.43,62.9,26.7,19.5,0.22,20.44,4.14,2.07,1.44,4.05,2.2,5.63,,0.03,157.0,0.78,0.02,0.02,34.5,1.9,0.26,0.13,406.0,3.73,0.013,0.6,38.77,14.1,0.149,1.78,,9.42,,1.9,,0.27,0.03,3.5,1.6,6.6,0.1,20.1,,0.72,,0.6,0.024,0.15,0.29,0.6,62.0,0.1,20.67,1.84,76.6,1.2
18,013L781022,013L,54.8120465,-62.0815712,82.0,14.0,2.0,19.0,9.0,,300.0,1.8,,2.0,270.0,22.2,60.0,0.9,Routine,013L,54.81195,-62.08243,62.0,1.85,0.3,,,131.8,0.4,0.02,0.47,0.28,50.4,10.4,30.8,0.44,14.86,2.92,1.49,0.83,1.92,4.4,4.04,,,69.0,0.52,0.02,0.05,25.9,6.2,0.2,0.4,285.0,1.06,0.038,0.96,27.08,24.6,0.07,3.42,,7.04,,4.6,,0.18,0.03,3.8,0.6,4.88,0.4,24.1,,0.49,,0.6,0.057,0.08,0.21,0.6,53.0,,14.07,1.31,90.9,1.0
19,013L781023,013L,54.8282257,-62.1234987,102.0,28.0,,21.0,11.0,,310.0,1.6,,3.0,125.0,27.2,90.0,1.6,Routine,013L,54.82813,-62.12436,110.0,2.03,,0.3,,278.0,0.4,0.02,0.65,0.48,59.2,11.7,26.5,0.26,29.89,5.9,3.16,1.51,1.68,2.8,6.92,,,96.0,1.1,,0.04,39.2,4.0,0.46,0.26,297.0,2.39,0.027,0.67,44.12,27.4,0.066,1.86,,11.07,,3.6,3.0,0.25,0.02,5.7,0.7,7.96,0.2,53.7,,0.93,,0.6,0.032,0.17,0.48,1.5,43.0,0.3,30.14,2.95,108.3,0.9
20,013L781024,013L,54.8556675,-62.1638705,62.0,16.0,,12.0,10.0,,680.0,2.7,,5.0,60.0,29.6,60.0,1.4,Routine,013L,54.85557,-62.16473,91.0,2.41,0.2,0.3,,50.2,0.3,0.02,0.35,0.52,33.6,12.2,16.3,0.18,18.21,2.41,1.23,0.89,3.48,3.0,3.21,,0.03,67.0,0.46,,0.02,20.6,1.8,0.16,0.1,1052.0,4.34,0.021,0.37,22.98,14.7,0.095,1.87,,5.81,,1.3,,0.28,0.02,2.3,1.0,4.03,,14.4,,0.39,,0.4,0.017,0.05,0.17,1.5,48.0,,12.19,1.09,75.5,0.8
21,013L781025,013L,54.8770054,-62.1761919,50.0,18.0,2.0,19.0,9.0,,120.0,1.5,,,140.0,14,40.0,0.9,Routine,013L,54.87691,-62.17705,43.0,2.28,0.1,,,57.1,0.2,,0.66,0.19,32.5,9.7,16.5,0.2,18.25,2.16,1.09,0.8,1.57,3.7,2.7,,,48.0,0.37,,0.04,20.2,4.1,0.14,0.28,109.0,0.88,0.164,0.49,21.99,23.7,0.056,2.04,,5.67,,2.5,,0.15,,2.5,0.5,3.66,0.2,37.7,,0.35,,0.7,0.033,0.05,0.15,1.0,24.0,,10.98,0.92,51.3,0.7
22,013L781026,013L,54.8797359,-62.2615803,54.0,14.0,2.0,17.0,8.0,,80.0,2.9,,2.0,135.0,18.8,40.0,0.4,Routine,013L,54.87964,-62.26244,38.0,2.2,0.1,,,37.0,,0.02,0.45,0.23,27.9,7.7,18.8,0.25,13.67,1.63,0.91,0.68,3.06,4.3,2.39,,,38.0,0.32,,0.03,16.0,4.2,0.12,0.29,72.0,0.48,0.11,0.58,17.32,20.9,0.055,2.94,,4.46,,2.3,,0.17,0.03,2.2,0.5,2.93,0.2,30.2,,0.28,,0.7,0.032,0.04,0.13,0.3,32.0,,8.82,0.82,53.1,0.4
23,013L781027,013L,54.8639731,-62.2889953,50.0,20.0,2.0,30.0,10.0,,80.0,0.85,,2.0,80.0,38,30.0,0.5,Routine,013L,54.86388,-62.28985,57.0,2.3,0.1,,,60.4,0.3,0.02,0.42,0.4,23.8,10.1,19.1,0.28,21.14,1.41,0.77,0.46,0.87,3.7,1.89,,0.04,48.0,0.27,,0.03,12.3,3.8,0.11,0.26,73.0,0.89,0.04,0.44,12.81,36.0,0.05,2.55,,3.09,,3.8,,0.29,0.06,2.0,0.7,2.29,0.2,30.4,,0.24,,0.8,0.019,0.05,0.12,0.3,27.0,,7.64,0.78,52.2,1.3
24,013L781028,013L,54.8745068,-62.3353898,70.0,14.0,,24.0,10.0,,80.0,0.7,,2.0,80.0,35,30.0,0.6,Routine,013L,54.87442,-62.33625,52.0,1.94,,,,87.8,,,0.56,0.49,41.4,10.1,17.9,0.33,16.55,2.61,1.27,0.9,0.67,3.6,3.42,,0.02,62.0,0.49,,0.03,25.3,3.6,0.17,0.21,59.0,0.92,0.034,0.59,28.01,29.8,0.053,1.89,,6.74,,2.5,,0.29,0.02,2.3,0.7,4.25,0.2,23.9,,0.42,,0.8,0.024,0.06,0.19,0.5,20.0,,12.79,1.19,75.2,1.0
25,013L781030,013L,54.8640898,-62.3553961,84.0,18.0,,22.0,13.0,,240.0,3.25,,3.0,120.0,24,40.0,0.5,First Field Duplicate,013L,54.864,-62.35625,73.0,2.8,0.3,,,89.6,0.3,0.03,0.39,0.73,41.4,13.2,20.8,0.31,17.88,2.27,1.02,0.76,3.43,4.6,3.15,,,51.0,0.39,,0.04,22.3,4.9,0.16,0.27,261.0,0.8,0.052,0.64,23.09,28.1,0.073,3.66,,5.75,,3.4,,0.2,0.03,2.2,0.6,3.97,0.2,25.3,,0.38,,0.6,0.029,0.05,0.16,0.4,57.0,,10.95,1.02,89.3,0.6
26,013L781032,013L,54.9526926,-62.190924,42.0,14.0,2.0,24.0,10.0,0.2,120.0,1.4,,2.0,165.0,22,40.0,0.7,Routine,013L,54.9526,-62.19179,29.0,3.25,,,,36.3,0.2,0.03,0.54,0.2,25.2,9.5,17.4,0.25,14.06,1.08,0.5,0.44,1.49,6.1,1.53,,0.03,48.0,0.19,,0.03,13.0,4.5,0.06,0.38,98.0,0.22,0.13,0.96,12.34,28.1,0.074,3.95,,3.17,,2.2,,0.09,0.03,1.9,0.7,2.09,0.3,31.8,,0.21,,1.1,0.041,0.04,0.07,0.4,22.0,,4.77,0.46,44.7,1.0
27,013L781033,013L,54.9742388,-62.1916762,46.0,18.0,2.0,26.0,9.0,0.2,130.0,0.8,,,50.0,27,40.0,0.4,Routine,013L,54.97414,-62.19255,55.0,2.47,,,,61.0,0.2,,0.44,0.32,23.0,9.3,15.7,0.16,19.38,1.53,0.79,0.57,0.9,3.1,1.8,,0.04,64.0,0.26,,0.02,14.1,2.6,0.11,0.19,128.0,0.92,0.043,0.44,14.74,32.9,0.046,1.65,,3.81,,1.7,,0.3,,2.1,0.5,2.42,,29.9,,0.24,,0.8,0.018,0.05,0.11,0.5,33.0,,8.06,0.74,48.2,1.1
28,013L781034,013L,54.9440955,-62.3034181,52.0,14.0,3.0,23.0,9.0,,80.0,0.9,,,120.0,23.8,30.0,0.5,Routine,013L,54.944,-62.30429,30.0,2.36,,0.4,,59.6,0.2,0.03,0.51,0.27,32.8,8.7,17.6,0.28,15.9,1.79,0.91,0.64,0.9,4.4,2.35,,0.02,38.0,0.32,,0.03,17.9,4.3,0.13,0.3,75.0,0.45,0.082,0.65,18.99,27.8,0.051,2.01,,4.74,,3.0,,0.2,,2.2,0.5,3.21,0.2,38.3,,0.31,,0.9,0.032,0.05,0.12,0.3,21.0,,9.51,0.93,53.9,0.9
29,013L781035,013L,54.9347752,-62.3693024,62.0,14.0,2.0,20.0,9.0,,130.0,1.1,,,205.0,18.2,20.0,0.8,Routine,013L,54.93468,-62.37017,33.0,2.24,,,,70.0,0.2,0.03,0.43,0.28,40.2,8.5,19.0,0.31,14.41,2.43,1.23,0.8,1.11,4.6,3.29,,,33.0,0.44,,0.06,22.2,5.4,0.17,0.38,105.0,0.42,0.069,0.7,22.99,22.7,0.076,2.5,,5.94,,5.1,,0.13,0.02,2.0,0.4,3.84,0.3,33.4,,0.4,,0.6,0.039,0.05,0.17,0.4,25.0,,11.98,1.21,62.4,0.3
30,013L781036,013L,54.9306713,-62.3839739,56.0,16.0,2.0,28.0,12.0,,120.0,1.3,,2.0,185.0,21.6,20.0,0.7,Routine,013L,54.93058,-62.38484,32.0,2.77,,0.5,,86.7,0.2,0.04,0.46,0.29,40.0,11.1,22.9,0.34,15.74,1.87,1.03,0.67,1.34,5.6,2.59,,,33.0,0.37,,0.05,21.1,6.2,0.12,0.43,104.0,0.79,0.089,0.85,21.82,33.0,0.051,2.99,,5.54,,5.1,,0.16,0.02,2.4,0.3,3.62,0.3,36.6,,0.36,,0.9,0.044,0.05,0.15,0.5,30.0,,9.94,0.94,55.5,0.5
31,013L781037,013L,54.9025514,-62.3894749,58.0,14.0,2.0,22.0,8.0,,80.0,0.8,,,95.0,32,30.0,0.4,Routine,013L,54.90246,-62.39034,40.0,1.94,,,,82.2,0.2,0.03,0.5,0.38,36.8,7.4,18.8,0.33,16.25,2.19,1.13,0.74,0.8,3.2,3.02,,0.02,55.0,0.42,,0.03,21.3,4.2,0.14,0.26,70.0,0.61,0.044,0.62,23.37,29.5,0.045,1.95,,5.69,,3.5,1.0,0.28,0.02,2.7,0.5,3.84,0.2,32.4,,0.37,,0.9,0.025,0.05,0.17,0.4,17.0,,11.08,1.01,63.2,1.0
32,013L781038,013L,54.8568427,-62.3987709,150.0,18.0,,24.0,50.0,,7500.0,5.25,,2.0,60.0,28.4,40.0,0.6,Routine,013L,54.85675,-62.39962,119.0,2.7,,0.7,,271.0,0.2,0.04,0.35,1.26,34.1,50.9,16.1,0.26,19.6,1.89,1.03,0.67,5.79,3.9,2.47,,0.05,66.0,0.34,,0.04,19.1,4.0,0.12,0.2,8642.0,1.23,0.056,0.3,19.19,32.5,0.189,2.1,,4.92,,3.0,,0.19,0.02,2.5,1.2,3.21,0.2,25.8,,0.31,,1.0,0.021,0.35,0.14,0.4,38.0,,9.63,0.9,152.6,1.4
33,013L781039,013L,54.8228185,-62.4027517,138.0,14.0,,16.0,14.0,0.2,430.0,1.6,,,60.0,24.4,40.0,0.2,Routine,013L,54.82273,-62.4036,73.0,1.85,0.1,,,86.4,0.2,0.02,0.45,0.81,34.8,14.2,18.8,0.24,14.65,2.02,1.16,0.61,1.69,2.6,2.55,,0.02,63.0,0.4,,0.03,18.3,2.4,0.15,0.2,437.0,0.84,0.068,0.33,19.61,20.2,0.1,1.74,,4.72,,2.6,1.0,0.2,,2.2,0.7,3.23,0.2,28.3,,0.36,,0.4,0.018,0.09,0.16,0.3,40.0,,10.74,0.97,148.2,0.8
34,013L781040,013L,54.7919142,-62.3726029,126.0,10.0,2.0,14.0,9.0,,190.0,1.0,,2.0,135.0,33.4,50.0,1.1,Routine,013L,54.79183,-62.37345,47.0,1.3,,,,94.4,0.3,0.02,0.79,0.46,38.9,8.0,24.2,0.42,12.15,2.41,1.27,0.63,1.0,2.4,3.17,,,77.0,0.46,,0.03,18.0,4.0,0.18,0.25,160.0,1.18,0.038,0.66,21.0,17.0,0.065,1.77,,5.13,,3.2,2.0,0.42,0.02,2.2,0.7,3.77,0.2,31.3,,0.42,,0.3,0.033,0.07,0.19,1.1,32.0,0.2,12.22,1.25,131.7,0.6
35,013L781042,013L,54.7442783,-62.418688,20.0,16.0,2.0,12.0,2.0,0.2,60.0,0.3,,2.0,40.0,86.4,70.0,0.4,Routine,013L,54.74419,-62.41953,226.0,0.65,,0.3,,96.9,0.1,,0.23,0.31,12.9,1.2,7.2,0.12,17.1,0.95,0.48,0.22,0.16,1.3,1.13,,,96.0,0.16,,,6.4,0.3,0.07,0.03,40.0,0.56,0.006,0.43,5.89,13.1,0.07,1.69,,1.49,,0.8,,0.22,,0.4,1.1,1.03,0.1,26.9,,0.15,,,0.012,,0.07,0.3,6.0,,3.87,0.37,21.3,0.6
36,013L781043,013L,54.7175279,-62.4132361,44.0,18.0,4.0,14.0,8.0,,120.0,0.9,,2.0,265.0,34.2,30.0,1.3,Routine,013L,54.71744,-62.41407,135.0,1.32,0.6,0.7,,195.7,0.5,0.05,0.5,0.26,31.2,6.9,19.1,0.45,15.78,1.7,0.76,0.48,0.9,4.1,2.23,,,37.0,0.31,,0.11,13.2,7.9,0.1,0.27,91.0,1.76,0.017,0.71,13.17,16.4,0.089,4.19,,3.36,,11.1,17.0,0.25,0.1,1.5,1.2,2.52,0.4,11.3,,0.3,,0.2,0.028,0.09,0.11,0.9,43.0,,7.9,0.69,43.1,0.6
37,013L781044,013L,54.6957832,-62.4135518,28.0,24.0,2.0,12.0,5.0,,100.0,0.7,,2.0,50.0,33,40.0,0.3,Routine,013L,54.69569,-62.41439,31.0,0.58,,0.8,,33.9,0.2,,0.43,0.15,8.3,4.8,10.9,0.31,21.39,1.21,0.71,0.32,0.67,1.6,1.25,,0.05,67.0,0.26,,,4.6,1.5,0.08,0.27,69.0,2.22,0.034,0.64,5.89,14.5,0.026,1.14,,1.3,2.0,0.9,11.0,0.5,0.06,2.5,0.8,1.32,0.1,24.2,,0.19,,0.2,0.069,0.04,0.11,0.3,63.0,,7.02,0.53,29.2,2.9
38,013L781045,013L,54.6488341,-62.4013678,46.0,18.0,4.0,17.0,10.0,,240.0,1.9,,,360.0,8.4,20.0,3.3,Routine,013L,54.64874,-62.4022,38.0,1.13,1.3,0.9,,152.9,0.1,0.05,0.65,0.14,47.2,11.8,25.0,0.5,16.28,2.5,1.23,0.68,2.35,3.8,3.55,,0.06,33.0,0.48,,0.12,21.4,8.4,0.13,0.52,254.0,0.56,0.08,0.94,23.05,21.2,0.099,6.65,,5.77,,10.3,,0.31,0.07,3.6,0.6,4.23,0.4,89.7,,0.45,,2.8,0.064,0.09,0.16,2.6,60.0,,11.46,0.99,50.2,2.8
39,013L781046,013L,54.6269732,-62.3804687,32.0,16.0,,9.0,2.0,,40.0,0.4,1.0,5.0,85.0,16.6,30.0,4.9,Routine,013L,54.62688,-62.3813,35.0,0.49,3.3,0.5,,119.6,0.1,,0.6,0.1,12.4,1.7,7.9,0.29,13.01,2.12,1.04,0.78,0.34,1.0,3.76,,0.02,45.0,0.37,,0.03,16.5,3.1,0.12,0.15,34.0,5.88,0.022,0.29,23.48,10.4,0.024,1.1,,5.12,,2.7,45.0,0.53,0.05,1.8,3.7,4.08,,28.5,,0.4,,0.5,0.019,0.03,0.13,5.0,18.0,,12.54,0.79,32.6,1.1
40,013L781047,013L,54.628705,-62.3960257,46.0,12.0,,10.0,5.0,,120.0,0.85,2.0,2.0,170.0,30.6,30.0,2.6,Routine,013L,54.62861,-62.39686,31.0,0.84,2.4,0.5,,156.2,0.1,,0.76,0.15,26.1,5.7,12.6,0.3,9.63,1.62,0.87,0.5,0.86,2.1,2.65,,0.04,39.0,0.32,,0.04,15.2,7.4,0.1,0.28,92.0,0.85,0.056,0.88,17.73,10.5,0.052,1.7,,4.21,2.0,3.7,13.0,0.32,0.02,2.3,1.8,3.11,0.2,32.5,,0.3,,1.4,0.052,0.04,0.12,2.5,28.0,,9.0,0.73,47.8,1.8
41,013L781048,013L,54.5945932,-62.3980179,42.0,14.0,,14.0,6.0,,150.0,1.45,3.0,5.0,145.0,14,20.0,5.0,Routine,013L,54.59449,-62.39885,22.0,0.82,5.5,0.6,,111.0,0.2,,0.61,0.11,31.7,6.6,14.5,0.32,12.93,1.5,0.72,0.43,1.48,2.5,2.15,,0.07,34.0,0.28,,0.07,14.8,9.7,0.09,0.39,123.0,6.3,0.061,0.81,16.4,16.5,0.041,1.95,,4.1,,5.1,24.0,1.13,0.02,2.3,0.5,2.86,0.2,53.2,,0.28,,2.6,0.057,0.06,0.09,5.8,29.0,,7.15,0.63,43.3,3.6
42,013L781049,013L,54.590247,-62.3584175,52.0,14.0,,12.0,8.0,,160.0,2.0,,2.0,195.0,22.2,20.0,2.2,Routine,013L,54.59015,-62.35925,29.0,0.83,0.2,0.5,,104.0,0.1,0.02,0.55,0.15,36.2,8.3,14.9,0.36,12.6,1.71,0.73,0.53,2.08,2.5,2.36,,0.08,37.0,0.29,,0.07,16.3,7.0,0.08,0.28,136.0,0.85,0.046,1.0,17.77,15.7,0.046,2.28,,4.53,,5.0,4.0,1.84,,2.7,0.3,3.07,0.2,37.2,,0.31,,2.5,0.051,0.07,0.12,1.7,22.0,,7.51,0.68,56.4,3.7
