,Unique ID,NTS Sheet,Latitude_NAD83,Longitude_NAD83,Old Zn,Old Cu,Old Pb,Old Ni,Old Co,Old Ag,Old Mn,Old Fe,Old As,Old Mo,Old F,LOI,Old Hg,Old U,Sample Type,NTS,Latitude (NAD 27),Longitude (NAD 27),New Ag,New Al,New As,New Au,New B,New Ba,New Be,New Bi,New Ca,New Cd,New Ce,New Co,New Cr,New Cs,New Cu,New Dy,New Er,New Eu,New Fe,New Ga,New Gd,New Ge,New Hf,New Hg,New Ho,New In,New K,New La,New Li,New Lu,New Mg,New Mn,New Mo,New Na,New Nb,New Nd,New Ni,New P,New Pb,New Pd,New Pr,New Pt,New Rb,New Re,New S,New Sb,New Sc,New Se,New Sm,New Sn,New Sr,New Ta,New Tb,New Te,New Th,New Ti,New Tl,New Tm,New U,New V,New W,New Y,New Yb,New Zn,New Zr
3326,023J783142,023J,54.1958723,-66.0524072,88.0,18.0,4.0,22.0,11.0,,415.0,5.25,4.0,2.0,390.0,9.8,80.0,2.6,Routine,023J,54.19576,-66.05316,145.0,1.31,13.5,0.7,,67.5,0.6,0.1,0.34,0.33,53.8,13.1,58.5,0.82,22.15,2.2,1.01,0.61,5.85,4.2,2.94,0.2,0.32,110.0,0.35,,0.15,28.8,13.4,0.11,0.67,498.0,2.29,0.01,1.59,24.4,32.6,0.059,10.6,,7.14,4.0,13.9,2.0,0.2,0.17,3.9,0.2,4.3,0.3,14.2,,0.43,0.04,7.0,0.089,0.13,0.12,1.9,47.0,0.2,9.62,0.75,97.3,11.2
3327,023J783143,023J,54.1973066,-66.0342867,140.0,26.0,4.0,24.0,8.0,,520.0,3.7,1.0,3.0,280.0,24,100.0,3.0,Routine,023J,54.19719,-66.03504,264.0,1.33,7.6,0.9,,152.7,0.5,0.09,0.34,0.86,51.6,10.2,45.1,0.79,32.39,2.21,1.16,0.69,3.75,3.4,3.18,,0.05,148.0,0.37,0.02,0.11,32.4,9.6,0.14,0.42,555.0,4.94,0.014,1.11,26.52,35.0,0.08,8.71,,7.44,,9.4,,0.51,0.28,3.5,1.0,4.4,0.2,17.4,,0.47,0.03,2.9,0.046,0.12,0.15,2.2,33.0,0.1,11.03,0.86,170.0,2.2
3328,023J783144,023J,54.7768501,-66.7982327,235.0,34.0,2.0,102.0,110.0,,45000.0,12.0,2.0,5.0,400.0,28.8,290.0,7.5,Routine,023J,54.77673,-66.79897,670.0,1.37,14.6,2.5,,199.7,4.1,0.16,0.85,4.73,67.6,144.8,21.9,2.83,45.01,4.5,2.62,1.4,12.76,4.5,6.57,0.2,0.21,355.0,0.91,,0.11,48.3,15.5,0.28,0.34,,7.92,0.007,1.01,44.61,151.3,0.077,9.65,,11.53,3.0,10.4,24.0,2.73,0.2,3.0,7.0,6.85,0.4,9.2,,0.89,0.05,4.2,0.011,0.86,0.32,8.9,111.0,0.1,34.33,1.81,296.4,6.0
3329,023J783145,023J,54.751272,-66.8542933,2800.0,54.0,,210.0,56.0,0.3,46000.0,17.2,3.0,9.0,190.0,37.2,300.0,14.7,Routine,023J,54.75116,-66.85502,864.0,0.95,12.7,1.9,,316.3,1.5,0.06,1.11,55.72,45.3,64.4,8.8,1.17,57.23,3.35,1.85,1.09,16.98,4.2,5.5,0.2,0.16,375.0,0.65,,0.04,32.5,4.7,0.2,0.2,,10.45,0.003,0.4,32.03,304.2,0.098,4.91,,8.43,,4.3,23.0,1.47,0.75,1.6,4.7,5.6,0.1,9.3,,0.7,0.07,1.7,0.005,0.41,0.21,16.7,42.0,,20.54,1.31,3046.0,3.8
3330,023J783146,023J,54.7308079,-66.8449384,360.0,27.0,3.0,52.0,20.0,,27500.0,9.8,6.0,3.0,440.0,17,120.0,8.5,Routine,023J,54.73069,-66.84567,512.0,0.89,20.7,2.5,,444.6,1.2,0.12,0.27,3.71,34.3,25.0,15.1,1.58,26.75,1.98,1.19,0.61,10.34,3.8,2.86,0.2,0.09,176.0,0.4,0.02,0.1,21.7,5.7,0.14,0.19,,3.04,0.005,0.43,18.25,62.3,0.314,7.17,,5.09,,8.8,2.0,0.12,0.47,1.9,1.7,3.3,0.3,7.0,,0.4,0.03,1.3,0.012,0.21,0.13,8.9,48.0,0.1,12.98,0.8,339.5,2.2
3331,023J783147,023J,54.7184626,-66.8367124,90.0,17.0,3.0,14.0,6.0,,225.0,1.85,,,270.0,35.4,100.0,2.1,First Field Duplicate,023J,54.71835,-66.83744,391.0,0.74,2.1,1.2,,23.0,0.8,0.07,0.24,0.67,29.2,6.4,15.9,0.9,19.94,1.29,0.71,0.46,1.65,2.5,1.69,,0.02,153.0,0.22,,0.06,14.9,4.8,0.1,0.16,128.0,1.58,0.005,1.51,13.59,18.4,0.055,6.08,,3.65,2.0,5.8,5.0,0.53,0.22,1.4,1.2,2.23,0.2,6.2,,0.26,0.05,0.4,0.013,0.07,0.11,1.6,21.0,0.1,7.88,0.63,101.8,0.6
3332,023J783149,023J,54.6210656,-66.8299609,360.0,78.0,6.0,26.0,6.0,,120.0,0.95,,3.0,185.0,32.8,170.0,4.6,Routine,023J,54.62096,-66.83068,339.0,0.73,10.3,1.7,,29.5,0.7,0.12,0.45,1.06,76.0,7.2,26.1,1.63,98.29,6.02,2.98,2.94,0.99,1.9,9.91,0.1,0.08,248.0,0.96,0.02,0.07,142.3,6.6,0.45,0.2,138.0,3.85,0.007,0.37,140.51,37.6,0.025,8.74,,38.28,2.0,6.5,1.0,0.71,1.21,2.5,2.9,17.14,0.1,33.9,,1.3,,1.6,0.011,0.17,0.39,5.3,11.0,,28.27,2.54,406.2,3.9
3333,023J783150,023J,54.5816684,-66.8412645,360.0,54.0,,70.0,29.0,,27000.0,13.6,2.0,3.0,170.0,15.6,110.0,2.3,Routine,023J,54.58156,-66.84199,287.0,2.24,10.8,6.8,,388.3,1.3,0.06,0.33,1.56,78.3,39.3,85.2,1.03,65.53,4.69,2.4,1.98,15.31,5.9,7.65,0.4,0.09,155.0,0.85,0.03,0.09,70.1,12.5,0.28,0.63,,2.85,0.008,0.6,69.36,104.2,0.106,7.6,,18.96,3.0,10.8,1.0,0.09,0.18,8.6,1.8,10.7,0.2,18.2,,1.0,0.05,5.9,0.064,0.55,0.32,3.8,67.0,0.3,22.97,1.89,451.4,2.6
3334,023J783151,023J,54.5698138,-66.7587637,285.0,62.0,4.0,30.0,2.0,,120.0,1.0,,2.0,105.0,27.4,150.0,3.1,Routine,023J,54.56971,-66.75949,272.0,0.58,0.9,1.3,,34.7,0.4,0.09,0.44,2.04,74.0,3.8,19.6,1.25,69.9,4.32,2.21,1.31,0.96,1.4,6.13,,0.07,260.0,0.75,,0.05,91.9,5.7,0.3,0.14,90.0,2.53,0.005,0.53,71.72,40.3,0.019,7.06,,21.56,,5.3,3.0,1.11,0.95,2.5,1.8,9.19,0.2,20.2,,0.86,,1.6,0.015,0.11,0.31,3.8,7.0,,20.95,1.88,324.1,3.7
3335,023J783152,023J,54.5271481,-66.7437636,270.0,50.0,8.0,32.0,8.0,,120.0,3.25,3.0,12.0,235.0,32.2,150.0,17.9,Routine,023J,54.52704,-66.74449,207.0,1.25,6.2,,,50.3,0.9,0.2,0.68,0.89,120.7,10.4,65.3,3.96,54.99,4.0,2.17,2.0,3.36,3.0,5.95,0.2,0.18,208.0,0.66,0.03,0.11,95.4,13.4,0.3,0.33,133.0,15.31,0.008,0.77,96.71,42.3,0.026,13.25,,27.54,,11.0,8.0,2.44,7.3,3.5,43.2,11.66,0.2,51.1,,0.88,0.04,2.8,0.031,0.27,0.28,18.8,26.0,,19.7,1.81,294.9,6.7
